Fish,Age,Sex,Experience
3,19.879048706895574,1,2
4,20.53964502103344,1,6
1,24.117416628298248,0,2
6,21.141016782849153,1,5
5,21.258575470321894,0,4
1,24.43012997376656,1,1
3,21.921832411978404,0,8
3,18.46987753078693,0,4
5,19.626294296212947,1,6
3,20.108676059800082,1,4
5,23.448163594878924,0,3
4,21.719627654114728,1,4
2,21.801542901188103,0,6
0,21.221365431890238,1,5
5,19.88831773049185,0,4
1,24.573826273606155,1,4
2,21.995700956458478,0,4
2,17.066765686740723,1,4
4,22.40271180312737,0,4
1,20.054417184544132,1,0
6,18.86435258802631,0,10
4,20.56405017068341,1,3
1,18.94799110338552,0,2
3,19.54221754141772,1,6
3,19.749921464301487,1,4
3,17.626613378515174,0,6
1,22.67557408898905,0,1
6,21.30674623567303,0,6
3,18.723726125976103,1,5
5,23.507629842139853,1,5
6,21.852928442953626,0,6
2,20.40985703401546,0,4
1,22.790251322090043,0,7
3,22.756266975066083,1,2
0,22.643162163274972,0,1
3,22.377280508200183,0,3
1,22.107835307075177,0,5
3,20.876176578846557,1,3
1,20.388074672520165,1,7
5,20.239057997975234,0,5
3,19.610586042158975,0,3
2,20.584165443960803,0,4
1,18.46920729686347,1,3
1,25.337911930677024,0,5
0,23.41592399660998,1,4
3,18.753782833593302,0,0
2,20.194230329401847,1,5
0,20.066689292753562,0,2
3,22.559930236672635,0,5
3,20.83326186705634,1,3
6,21.50663702798951,1,7
3,20.942906489302594,1,6
1,20.914259085417367,1,4
3,23.737204568028915,0,1
5,20.548458028681466,0,4
8,24.03294120885908,1,4
6,17.90249439153956,0,10
2,22.16922749927214,0,3
4,21.247708487689227,1,5
4,21.431883137487944,1,7
2,21.759278965519766,0,4
4,19.995353093781397,1,5
5,20.33358523266116,0,1
2,18.96284923378582,0,6
2,18.856417547048846,1,4
2,21.607057282808515,0,2
0,21.896419557258852,1,3
2,21.10600845346101,1,6
3,22.844534935759476,0,4
1,25.10016937125429,1,5
0,20.01793766788693,0,3
2,16.381662248718374,1,6
2,23.01147704892451,0,3
3,19.581598474835214,1,3
2,19.623982767065286,1,2
5,23.0511427393934,1,7
4,20.430453985897984,1,3
1,18.55856457549093,1,2
7,21.3626069594983,0,7
2,20.72221727512191,0,3
2,21.011528371799773,0,6
2,21.77056080225266,1,2
4,20.25867993641518,1,3
2,22.288753097037667,1,3
4,20.5590268763625,1,1
2,21.663563927831394,0,5
1,23.193678026298695,1,2
3,21.870362981667604,1,3
1,20.348136828937548,0,3
4,23.29761523690219,1,4
4,22.98700771192424,1,4
4,22.09679391901614,1,9
3,21.477463470222883,0,3
6,19.744187847921257,1,5
7,23.721304897060016,0,8
5,19.799480825705746,0,4
6,25.374665986033154,1,3
3,24.065221252370378,1,6
3,20.528599281799046,1,2
1,18.94715819938644,1,4
5,19.579186872601397,0,4
3,21.51376741831306,0,3
3,20.506616243075253,1,2
3,20.304914801204532,1,6
3,19.09676286546997,1,4
3,20.90994455038216,1,4
3,19.43019106108585,0,4
4,17.66411612682373,0,5
6,20.239546959424477,1,5
3,22.837993218121532,0,4
1,19.849306074783215,0,1
2,22.215928644450067,0,4
1,17.764234583421672,1,4
2,20.88887606895092,0,4
4,22.038814407886925,1,4
2,21.602306724333427,0,1
2,21.211352388297886,1,1
4,19.71858798338925,0,5
4,19.300591307932834,1,6
1,18.951742418790175,0,2
5,21.235293194200253,1,5
3,19.105050771630395,0,4
7,20.018885112598664,1,9
1,20.487815615603505,0,4
3,24.687724010464414,1,4
6,19.696100196609084,0,3
2,21.470773144569712,0,4
0,21.155921699127422,0,1
3,19.076286731739742,0,4
9,20.857383827752802,1,8
5,23.889101716846696,1,4
3,21.903008106158428,0,4
3,21.08246584398588,1,1
2,20.15500633532075,1,1
4,16.893505556918967,0,1
1,23.26267442682835,0,2
3,18.078719858150357,1,4
6,22.47989502175467,1,6
5,24.818207138434968,1,3
5,18.112213678056403,1,5
5,22.403568670749422,0,4
1,20.475605021195065,0,3
2,17.855711681709025,0,0
4,17.970664692436497,0,5
2,17.796927652850812,1,1
6,19.938186955659393,1,6
2,18.076488830008202,0,2
7,22.375833545951654,1,5
4,25.200217881051344,1,6
1,18.425939047929642,1,3
3,22.575477694950358,0,2
2,22.53808448200182,0,5
2,21.664405157900234,0,2
2,18.983246783445985,0,3
5,20.76109478673868,0,4
3,20.439209329659505,0,4
2,22.12597906644096,0,3
2,20.25512248779234,1,5
3,22.953946773371243,0,4
1,20.25083828446597,0,2
5,23.105422931158664,1,9
4,18.90164598666787,0,3
2,18.479689510483777,1,2
3,27.48207986988481,0,2
2,20.166284823679135,0,3
4,21.59645518308143,0,3
0,22.273139348067698,0,3
1,20.032438748582514,1,1
2,22.033724088627217,0,7
5,21.737929054770174,0,4
2,20.569238984716613,0,2
4,21.13058606705063,0,6
2,20.931865492523073,0,4
3,25.25690379803236,1,4
1,19.517327807454343,1,5
0,18.80800746585067,1,5
0,21.07557679834216,0,2
1,21.620961498886274,1,3
4,21.873046957820367,0,8
3,20.08326933457779,1,2
4,18.873347732057617,0,5
1,23.52637035217898,0,4
5,20.30069922409289,1,2
1,19.268974274693253,0,2
3,20.527440862117807,1,5
2,20.605648211302896,0,2
6,23.21984057942728,0,3
5,21.169474584394393,1,4
3,22.50810757036904,0,4
2,20.00141596565548,0,3
3,21.4288906191632,1,4
4,20.35062817701833,1,2
4,21.18916705634714,0,6
0,19.209273284044915,0,2
1,18.378396933344057,0,1
8,24.994426769495934,1,7
3,22.201417647344837,1,3
4,18.49745727675011,0,5
4,19.77766816663916,0,3
2,18.62903983080538,0,4
1,25.39762069776744,0,2
3,23.62482595286702,0,2
2,20.469709886607294,0,2
5,22.08638811846418,0,4
1,20.17132010416228,0,4
1,20.047506210768844,1,4
3,19.422794324299517,1,4
1,19.810765465080976,1,1
3,24.30181493467338,0,0
2,20.891943749829117,1,2
5,21.23849047285517,1,6
2,21.487374859198184,1,3
1,23.464951756970677,1,4
2,19.96787233811044,0,4
6,19.014985699215924,0,10
4,24.35139386480638,1,2
2,20.117673566189428,1,5
3,19.55386806012025,0,3
2,18.527453762233414,1,3
4,18.430568555364406,0,0
10,19.852053041404027,1,11
1,22.23597163433306,1,4
7,23.219696277859438,0,11
3,22.415176707671176,1,2
3,20.272685405809494,0,2
3,21.1194998747692,0,3
2,19.59080707263986,0,5
1,19.56556367685198,1,4
2,22.76930099795384,1,3
1,18.968814842792913,0,5
4,24.910587930984928,1,4
4,20.819360812068297,0,4
2,21.42907765325843,1,4
2,19.522944590520854,1,2
0,19.85122262047346,0,2
1,18.365967735389518,0,5
5,20.634149223254546,1,4
6,21.837964809848927,1,8
6,21.64860868832276,1,8
3,19.436927025890498,1,5
2,19.422756058292,0,4
5,19.99560256331428,1,2
0,23.9921213396927,0,4
2,18.72539275866851,0,5
9,20.641896811239604,1,7
7,24.804723643357853,1,7
12,20.798050229342383,0,6
1,18.28031859235721,0,2
2,19.670461129451876,1,1
1,21.970919957809755,0,4
4,20.248794256660453,1,4
4,19.876247272900436,1,2
8,20.31216553174308,1,8
0,21.18099329427844,0,2
3,24.19701754229165,1,7
3,20.822869775722232,1,2
3,23.161598992303034,0,5
5,22.261508231301132,1,5
1,20.772720208987717,1,5
4,17.934195994218804,0,5
1,19.95776536489496,1,2
2,20.020259093723052,1,6
4,21.094308865523054,1,4
2,23.60039735533364,0,6
2,25.586157947662187,0,2
3,24.09516211796754,1,0
2,20.73369807134211,1,3
2,17.486945208884727,0,3
3,20.222440271856513,0,6
2,21.17841444614659,0,7
0,22.690026008134872,1,2
3,22.92505593696854,0,7
5,22.368618858832928,1,4
1,18.209451300401064,0,3
1,22.69928609126671,0,5
0,20.106885567145554,1,5
3,21.34960540032251,0,4
4,21.14910235434747,1,3
4,21.85633352994101,1,8
2,21.04934996565228,1,1
2,17.665049804828673,1,2
3,22.472991929546886,0,5
6,21.772053136699352,1,5
5,20.468696749443556,1,2
2,21.236289022093363,1,4
5,21.268077290736926,0,5
1,21.442038937122003,1,3
11,24.28169233195497,0,9
1,20.561899242133048,1,5
7,21.336130767769315,1,3
1,23.336767746138186,0,2
2,23.10836204675384,0,3
1,23.290526220760714,1,2
2,19.845063997880885,1,1
4,25.00496546058566,0,3
9,21.133401741860364,1,5
4,24.733703689413726,1,8
4,18.298194627938578,0,3
3,21.041967172708475,1,4
6,23.49982914193843,0,1
3,19.56951562555441,1,5
3,19.494622063564517,1,3
0,19.122922592786214,0,3
5,18.894973441322527,0,8
2,20.125680933639202,1,5
6,21.662358345917962,1,5
3,16.97157900415856,1,2
4,21.423960866744583,0,2
6,23.47335009283314,0,6
4,25.07514803648087,1,6
8,23.602351984401174,0,5
3,22.513549527591923,1,3
2,17.54653920177134,1,2
2,19.796986583986435,0,4
1,20.295907086834767,0,4
5,22.407047805513788,0,2
2,20.78865733199245,0,5
1,18.482702743879656,0,1
5,24.36887141618823,0,5
4,22.822782583591927,0,6
9,21.47486054498205,1,7
1,23.436217220651624,0,5
2,18.322451425530055,1,3
5,22.321640595579602,0,2
6,19.954175247373158,1,6
4,22.367491043701424,0,1
5,20.87835609067985,0,6
1,22.265921426062903,0,4
1,23.671035230118783,1,4
2,21.014580180633796,0,7
2,23.035117273904184,1,2
4,18.62313192970404,1,3
4,19.55679111912797,1,2
2,24.038435422776356,0,2
5,21.754775946047857,0,5
2,16.89555435913254,0,4
3,18.27192509583525,0,4
5,20.598437968821756,0,6
6,22.731558808668975,1,8
5,20.796233488569555,0,4
3,22.248374944041306,0,5
1,22.91801075557565,1,2
1,24.342109657725878,0,3
0,21.112033466549924,1,1
4,20.896036187638202,1,2
3,17.49352528171546,0,2
1,21.198655188175653,0,3
1,19.856299884208873,0,3
2,19.051980834391816,1,5
3,20.640187537904918,1,5
4,23.029886345487316,1,3
2,17.014503022622836,0,8
1,20.145441425589144,0,5
2,21.233274567165413,0,2
2,19.213584859890094,0,3
2,21.66780588499845,0,3
1,21.822859841231462,1,4
7,20.933927681448015,0,6
3,16.068203612479945,0,2
3,26.142916291733275,1,3
6,20.5894014850636,1,8
2,22.30238656317534,0,2
4,21.547532982073097,1,5
3,23.0493464696367,0,5
4,22.635318892748177,1,4
6,20.580413657542984,0,10
3,21.756335544417013,0,1
4,19.109182337752216,1,9
5,22.713846021798638,0,5
3,20.077923322231293,1,4
0,25.83354670757642,0,2
2,17.697902208623624,0,4
2,20.07202551406797,1,2
2,22.650759725518483,0,3
4,22.020265093757327,0,6
4,19.82103792297,1,1
4,19.006438515584954,0,3
1,21.288951409421394,0,6
0,20.971385173666174,0,1
2,17.419437525471878,0,6
4,21.069102134267702,1,8
5,21.380460631384913,0,5
0,21.349452793963682,0,0
7,18.889965914794637,0,4
6,21.95226655660526,1,5
2,23.75714027391848,1,1
7,21.912472806359624,1,6
0,18.728823059251315,0,5
4,20.12870906061619,0,3
6,21.692207239107212,0,5
1,19.705908737363462,1,5
2,16.684707329969445,1,2
4,22.768501640056417,1,5
4,19.341044776750962,1,7
6,19.852879458463434,0,6
3,24.00780121800907,0,5
3,19.45171014078919,1,5
4,22.691463080378593,0,4
1,18.47863424236245,1,3
4,20.290915193852044,0,2
2,20.852887961727042,1,6
3,18.66269715115129,0,5
2,19.73050347018218,0,6
0,20.94231689414337,1,1
4,22.34139193746786,1,2
3,17.69890691314978,0,4
1,20.300491521577463,1,1
6,22.512812877090965,0,5
3,19.922381680044815,1,4
6,21.454583843345883,0,3
5,21.984457140128864,1,3
3,21.535670030663365,1,5
3,22.306515358942764,0,2
4,20.75458267804524,1,2
5,20.17264697281576,1,4
0,15.713702095942043,0,2
0,20.814117963041056,1,2
8,21.860569392719974,0,5
3,22.0707976817363,0,4
3,19.889443297373496,0,3
3,24.5590058195503,0,3
3,21.57284883925765,0,5
5,21.252631716917772,0,6
4,23.544533558937037,1,1
3,19.56306755736148,0,10
1,20.099322752150577,1,1
4,25.794904960099526,1,2
1,21.022258374441776,0,3
5,24.267136842816612,1,6
2,18.122986710170956,1,2
4,20.618966395914196,1,6
4,21.756847807273665,1,6
4,21.600077090411595,0,4
5,18.988727480978326,1,5
2,21.038518549250742,1,3
2,18.845158693776035,1,4
7,22.425406650488565,0,7
3,23.16955017972129,0,3
3,16.550024607025176,0,1
8,23.471386924600285,1,8
2,18.517911006383017,0,3
3,21.909538537965265,1,5
4,22.319805276285216,1,1
6,20.600220343797133,1,8
5,19.709772086280417,0,7
5,21.3306420424841,1,6
4,21.877637401428906,1,3
2,22.76660563989741,1,5
1,16.895326032196095,0,3
1,17.727241463881953,0,3
15,23.860804682376365,0,12
5,23.093257694223094,1,9
3,21.870577897815366,0,4
1,22.430356814222122,0,5
4,22.834349835282005,0,3
1,15.678154403068639,1,2
3,23.22055419327764,0,4
5,20.03002480687535,1,3
2,21.461233661262405,0,1
7,20.409684398232844,1,9
5,22.743929908157487,1,5
2,20.303055102088777,0,6
1,22.037007531776496,0,4
2,20.21863004272204,1,2
4,18.81442558179699,1,5
3,23.42002102088053,0,1
3,22.481800022548548,1,2
9,24.448524478312905,0,7
0,21.130307865158606,0,2
2,23.250005491656346,0,3
4,24.950838108038155,1,3
1,20.437035769922065,1,3
0,18.35409777448957,0,2
1,20.521296865723766,1,1
6,20.571917520029235,0,7
7,21.30336100901864,1,8
4,24.424609954638566,1,7
2,20.347712214989304,1,4
2,21.746009311609832,1,4
5,20.54463187020894,0,1
3,21.040901417050065,0,3
5,21.628115327012523,1,7
5,23.656429392073974,1,3
3,21.242636754981557,0,4
2,22.425684640062226,0,4
5,22.557720059567067,0,2
4,22.82954654171127,1,4
0,19.851210895631233,1,2
4,24.253762428389354,1,4
5,20.238086521411972,1,4
1,20.788431664700497,0,2
9,23.80810053542834,0,7
0,23.58816781229116,0,2
1,18.820016255177524,1,3
0,19.253857999165074,1,6
2,18.283841881258773,1,3
4,21.363694385239665,1,3
5,21.32968173583693,1,6
3,21.728229374710125,0,4
1,22.104315428437115,0,6
6,19.796214308029967,1,4
4,19.01260281780257,0,7
3,23.053570112149806,0,2
2,22.502122605212648,1,4
4,17.981666925342598,1,5
3,20.809705098301425,1,2
5,19.208104354487002,0,4
2,16.858497858916074,1,5
3,21.30024026237629,1,7
4,20.841576581482823,1,3
4,20.80526146497384,0,4
2,21.432305083602465,0,0
4,22.764930328793174,0,3
2,21.41119500896677,1,5
5,19.767128314252943,0,4
4,19.530401496157438,1,6
3,20.736394413917637,1,2
4,21.620033973157902,1,5
3,18.920639294595915,1,2
4,20.63138226231523,0,4
2,22.934534520335827,1,5
3,20.78343981753103,0,4
4,19.603158664811218,1,3
2,20.44810966314892,0,5
4,23.22929709072396,0,4
1,22.100087922428273,1,2
4,23.473351600163213,0,4
5,21.27819571432354,1,1
3,21.82055019298085,0,3
4,19.883086175303735,0,4
2,22.210741337860664,1,1
1,19.987332915621522,0,2
3,18.15886899060851,0,5
1,21.25598593136825,1,5
5,24.89170243546287,1,5
2,22.601828679146124,1,1
3,23.33050677989252,0,2
4,21.717711446186303,1,7
2,19.78288564336755,1,7
4,20.59551828977943,1,7
3,20.45350378637615,0,5
4,20.062600440435826,1,2
2,22.40833456785943,1,7
1,18.605272995269175,0,7
1,22.732732264225547,0,2
5,22.728304972451788,0,1
2,18.602755281862503,1,4
3,22.278983995801067,1,3
1,25.860453304689017,1,4
3,19.885569036116785,0,4
1,22.689808482816144,1,5
4,19.435596308761195,1,6
5,23.2214228364056,1,3
2,21.499649439853126,1,5
2,24.30383078324633,1,4
3,18.08205854292617,0,1
0,20.897404227749277,1,1
3,19.946149647748804,0,2
2,20.6054702618474,0,2
1,19.74084251462799,1,3
5,19.332312838929997,1,4
2,22.1574447492329,0,5
3,18.824838571846147,0,3
4,23.968061863112567,0,7
3,18.627586829372497,0,4
1,21.202158302790558,1,3
5,22.065978573652963,1,3
1,22.17347067818525,0,5
2,20.39650667226724,1,5
2,21.159003990656803,1,4
6,22.922528303619355,1,6
2,18.08706816584715,1,3
1,19.436520576935838,0,2
1,21.64080462863322,1,4
2,20.11043604332602,0,3
3,23.740007987942,0,3
10,22.34650772670967,0,7
1,21.14433350482951,0,4
3,17.98448536492664,1,0
1,21.052200450652485,0,7
4,20.367168263606015,0,3
1,20.795306972958805,0,0
3,18.636881545888627,1,9
1,21.99731608765985,1,3
3,18.922087119385935,0,9
5,20.547556037115182,0,2
8,21.762851658902704,1,4
3,19.432968421973904,0,6
1,22.165982811360127,1,2
4,18.366979196696615,1,5
3,15.380450642078916,0,4
1,21.929935981571706,0,0
4,22.681079653921998,1,3
2,20.42830915281723,1,4
7,22.008252509183215,0,7
3,18.688166949832656,0,10
4,20.745702786348676,1,2
0,17.116963247918765,1,4
3,23.362361782877045,1,5
6,24.719821723086323,1,7
